Romance,Thriller,Fantasy,Science Fiction,Mystery,Non-Fiction,Historical,Horror,Adventure,Biography,ISBN
6,3,0,4,8,7,8,9,8,6,0385490992
3,4,0,0,2,7,1,3,1,4,0385424728
8,0,4,8,0,8,7,3,10,9,0385472951
4,4,10,5,6,7,7,10,1,8,0425182878
6,3,3,10,7,3,5,4,2,9,0553564528
10,1,8,9,8,0,9,2,7,5,055356451X
4,4,5,6,0,8,2,3,9,0,0020442408
10,9,2,1,1,0,7,2,2,5,0553225987
7,8,8,3,4,1,10,8,7,2,0345313860
10,8,2,8,1,9,8,7,8,4,0553576925
10,10,1,7,5,7,10,4,9,1,0307001164
5,4,4,0,1,7,2,9,2,7,068484267X
7,1,7,10,0,5,7,2,7,0,0553578693
10,10,8,10,8,4,9,3,10,5,0060938455
6,4,10,9,8,2,6,9,9,10,0385335679
4,6,1,3,1,6,1,10,0,8,0440122090
0,7,1,7,2,5,2,6,9,8,0061009059
1,4,5,3,3,3,1,3,10,0,0821775863
5,0,9,5,0,5,9,7,10,1,0446364193
1,3,10,2,3,6,10,0,5,2,0446519138
10,9,6,9,1,1,3,0,2,8,0425179672
6,6,10,3,1,3,5,10,10,2,0061042943
0,7,4,4,10,3,5,2,8,4,0140185216
2,10,0,9,5,1,2,0,8,7,0062507249
1,10,7,8,0,4,7,10,1,3,0684801221
6,2,4,7,9,2,3,8,6,0,0446672211
3,3,8,5,8,5,5,4,4,1,0140293248
7,7,10,0,7,4,1,1,5,10,0142000205
8,0,5,8,7,10,5,2,7,8,015600710X
0,8,5,5,3,0,9,7,1,0,0449207757
1,0,0,8,0,3,9,5,6,1,225300670X
5,6,9,9,1,1,9,6,0,7,0385504209
10,2,10,5,8,5,8,6,8,1,0446525502
7,7,1,3,10,6,10,3,3,5,0670892963
9,5,9,2,8,9,10,1,5,6,0688180639
8,2,9,2,6,3,7,6,4,6,0316789089
2,1,5,1,2,5,4,7,8,10,0425184129
2,9,2,2,5,0,6,0,4,9,0385505833
7,3,4,3,3,7,1,0,2,8,0679442790
3,9,4,1,3,1,1,3,5,6,0060191929
9,2,2,9,5,2,1,7,4,0,0743206045
2,9,7,3,6,9,1,6,4,4,0446523569
5,8,5,7,6,8,3,1,6,5,0446527793
0,10,8,8,1,2,4,4,0,7,0446531332
7,3,6,10,9,2,5,9,9,8,0385420161
0,4,3,7,10,0,8,5,3,8,0345339711
10,4,4,4,0,0,7,7,5,10,0316969443
3,1,1,8,4,3,9,0,6,2,0316693200
5,4,4,10,4,0,0,2,9,3,0399148582
4,1,7,10,10,1,8,1,8,6,0451176812
7,10,1,6,5,3,6,3,1,9,0064407667
6,7,1,4,0,6,7,5,4,5,057120354X
1,0,6,6,9,10,9,1,1,0,0743222229
9,7,7,0,10,7,8,3,0,0,2253063339
2,4,4,8,9,1,1,5,8,0,1405200677
8,8,8,4,8,10,3,1,5,3,0316776963
5,2,5,1,1,8,6,2,10,0,0060934719
7,5,6,8,4,0,9,6,4,2,0451456548
8,0,0,0,2,5,9,10,2,7,0440117291
9,1,8,2,4,9,7,1,5,4,0425049981
9,8,4,1,4,3,10,6,5,1,0786886463
10,10,4,6,10,6,4,8,3,10,0380788497
2,3,4,5,2,1,3,4,3,10,0307215342
2,7,9,3,1,1,0,3,9,8,0345403339
10,6,9,6,6,7,0,9,9,7,1573229571
3,3,3,5,6,5,0,7,9,10,0743211383
6,5,5,4,5,8,9,8,9,7,0451205421
9,8,9,7,7,0,9,10,4,3,0064405052
1,7,2,3,6,9,8,1,2,3,0152162577
9,0,6,1,4,0,2,1,0,6,015216250X
4,0,5,4,2,6,10,9,8,8,0439221714
8,1,2,6,4,1,2,9,5,6,0345391802
8,0,10,6,7,2,3,9,5,9,0440219078
6,3,7,4,0,3,2,8,7,0,0345346971
10,5,8,6,3,0,1,4,10,4,0753804700
7,5,7,1,2,5,9,2,5,5,0345428544
1,6,1,5,0,2,1,6,3,7,0671694049
5,9,3,4,8,6,9,8,6,0,0380820447
7,3,2,6,2,7,5,4,3,7,0451454243
7,0,8,4,3,5,5,1,7,6,0385493800
0,4,5,3,1,3,0,6,1,1,0440211727
8,4,1,10,8,8,0,10,2,3,044661162X
6,9,3,1,6,5,2,5,10,5,0440222818
4,3,9,0,9,5,1,2,7,9,0451204050
5,2,6,3,8,4,2,1,10,1,038533334X
2,1,3,1,9,8,1,8,5,0,0345404777
3,0,5,3,2,2,8,5,8,4,0515134368
1,7,4,1,3,8,3,3,1,5,0394578791
10,1,6,2,2,4,2,1,9,8,0380817144
1,10,1,7,8,6,2,8,2,4,0446364762
8,2,6,0,3,3,6,7,0,4,0064472779
6,3,3,3,5,6,1,4,3,2,0553581279
6,10,5,6,4,5,4,6,1,10,0553561618
4,5,5,4,9,6,9,7,6,4,044022165X
0,4,9,1,4,4,1,4,3,0,0425124347
2,0,10,4,3,6,4,9,3,1,0312282990
3,1,7,2,8,3,5,9,4,9,042512892X
0,8,0,7,8,8,0,1,0,9,0425113892
1,9,7,4,10,6,1,7,10,5,0449134482
7,0,0,6,7,2,4,0,6,4,0375821813
7,7,8,6,10,0,2,7,2,7,0345348036
0,4,3,4,7,9,3,10,3,2,0553568760
6,2,2,10,9,4,4,5,7,9,034538184X
5,0,7,7,8,8,1,1,2,0,0140620109
3,3,8,8,8,9,6,1,9,4,0805062971
3,10,7,1,5,4,1,10,9,0,0671510053
7,1,6,8,8,7,10,9,8,1,0385334036
5,3,3,4,2,0,7,4,2,9,0345347536
6,6,0,8,1,4,4,7,7,6,055321313X
6,10,5,5,10,8,5,1,1,4,0679743464
3,10,1,2,6,7,5,10,4,0,0743237188
7,2,5,2,6,6,8,4,7,9,0345443284
9,7,0,4,2,0,3,7,2,9,0394800133
1,10,8,9,4,6,10,10,1,8,0060972777
8,3,3,5,9,9,9,5,0,8,0345418018
1,4,8,3,10,2,6,5,7,2,0312420145
4,9,3,3,3,9,7,5,2,9,0671789422
4,5,4,5,7,6,4,9,5,3,014016930X
8,3,0,6,6,3,2,7,4,9,0140077022
6,3,3,7,7,1,1,2,2,0,0553273914
2,5,7,9,5,4,3,2,3,6,0060928336
0,6,0,1,3,0,10,10,10,8,0671003755
5,0,0,5,3,3,10,5,10,6,0440215625
8,9,4,8,3,9,1,2,10,0,0316777730
5,5,0,10,2,4,2,9,2,9,0140070206
2,4,4,3,0,4,9,4,3,5,0140042393
9,3,6,6,1,2,0,7,8,3,0446601241
5,8,5,8,3,7,8,3,4,7,0345384466
9,5,6,2,6,7,9,5,9,8,0446604801
5,8,3,7,10,3,1,9,10,8,0679734775
4,3,1,0,10,6,5,1,7,10,0345409469
3,7,6,4,9,9,7,8,4,9,0671027344
4,1,4,2,6,9,4,7,0,2,0380789035
2,8,4,8,8,0,1,4,3,9,0345358791
8,6,5,6,0,0,7,1,9,10,0060964049
8,6,5,0,0,1,5,5,1,0,0440206154
9,4,4,1,5,8,1,9,1,2,0345370775
6,5,7,7,5,10,9,2,2,0,0373484224
6,4,3,9,3,3,5,7,7,4,0380789019
5,3,10,8,7,9,9,0,1,8,0380018179
7,2,7,0,9,3,2,5,6,3,0786866276
6,8,10,1,10,2,4,2,10,7,0140620338
9,7,7,8,3,4,4,7,6,8,0425137015
7,1,9,3,5,1,6,2,2,10,000649840X
1,10,7,5,0,0,6,7,4,10,0099771519
4,3,5,5,2,8,10,6,0,6,067102535X
4,4,1,3,5,9,10,6,10,4,0876855575
8,2,0,3,8,3,1,9,4,2,0385498721
8,3,5,1,5,2,8,10,1,8,0380813815
4,7,1,5,2,9,4,7,9,0,0385314744
4,2,3,1,8,2,1,9,10,8,0894803700
6,5,0,4,10,10,2,0,3,1,0316929190
1,2,7,7,6,5,8,3,0,7,0439404371
6,6,2,3,9,8,5,4,2,8,0679741011
4,4,3,3,0,6,8,2,1,2,044100962X
0,5,10,10,6,10,10,1,7,5,0553296981
3,4,7,2,2,10,3,0,8,7,0345285549
7,9,5,6,5,8,2,2,2,9,0345290240
2,8,3,6,8,10,6,8,2,3,0451169530
7,5,4,3,7,0,8,0,7,3,0385335881
8,10,4,2,8,10,8,3,10,3,0385335482
7,1,8,5,8,7,6,0,2,10,0373218400
1,4,4,4,3,4,2,0,4,8,0374216495
8,3,2,0,1,7,0,7,6,7,0060192895
5,8,2,9,3,5,7,4,2,5,0345435249
3,8,2,3,6,6,3,5,2,5,0441003257
1,7,1,10,6,8,0,7,6,5,0446606812
5,5,8,1,0,5,9,10,7,2,0399149759
9,0,8,0,2,7,2,3,7,0,0060930535
5,0,0,7,10,3,0,9,6,4,0375702709
4,0,9,10,5,8,8,7,4,0,0671038184
8,0,7,4,2,10,6,6,8,6,0060916508
10,2,10,0,7,2,7,7,4,0,0142000663
9,6,9,4,7,8,10,6,6,0,0590112899
3,1,1,1,3,0,3,1,4,2,0590660543
7,3,0,0,9,2,8,6,1,8,0345361792
9,1,2,10,9,1,2,5,8,8,0552999512
6,2,3,5,10,4,1,5,2,7,006092988X
1,0,8,2,10,0,6,9,4,4,0140317937
0,8,6,7,8,5,4,5,10,1,0743225406
3,2,6,8,4,5,9,1,2,2,0553256696
8,6,7,10,9,10,8,5,3,0,1400034779
7,6,1,7,4,6,3,4,7,0,0786885688
0,3,2,9,1,2,10,10,10,0,0345387007
0,5,4,7,1,3,7,5,0,3,037570504X
0,1,4,7,7,10,2,10,3,9,0767902521
10,5,10,10,9,2,1,5,10,4,0609608444
9,4,9,4,9,4,2,6,5,3,1558744606
1,8,0,10,3,0,5,3,4,4,080410753X
8,0,1,5,4,10,6,2,2,9,0451526503
1,2,9,0,4,4,10,6,3,2,014131088X
0,7,2,1,10,3,2,0,2,1,0140244824
7,5,8,7,9,2,4,6,4,7,0385508417
4,0,4,3,5,2,10,4,1,10,0385510438
5,5,4,5,10,6,4,0,7,3,0380723638
8,9,5,0,2,2,9,3,5,6,0425185710
9,3,5,10,0,7,6,10,10,8,0061030651
2,1,0,2,4,10,1,2,3,6,0671527215
2,8,7,3,0,0,0,0,7,2,0671522817
5,2,10,4,6,1,5,5,10,2,0671318314
5,9,9,4,1,8,7,2,7,8,1558612815
2,2,1,7,9,0,7,6,6,2,014025448X
0,3,8,4,0,4,7,7,4,8,0060934417
0,3,2,1,7,6,8,1,3,5,0671793489
10,2,7,2,1,2,10,5,1,7,0679772677
0,6,1,9,5,1,1,9,7,1,0312983824
6,2,7,6,7,6,10,5,6,4,0743418174
6,0,0,8,4,4,2,4,2,8,0451187903
8,5,0,6,6,9,9,3,7,5,0671036505
3,3,1,1,3,4,7,5,3,10,0553213504
6,7,1,6,1,1,7,1,10,8,0394758285
0,8,0,9,9,1,5,5,0,6,0671004565
7,1,7,8,5,4,8,10,8,0,0375703055
10,2,8,10,1,3,3,1,2,2,0156006529
0,5,7,2,4,0,9,6,9,0,0446673544
10,8,7,6,9,6,4,4,10,4,0312243022
0,7,10,0,3,8,8,4,3,2,0385490445
2,4,9,0,4,5,6,8,2,1,0345316770
2,8,6,8,1,4,3,1,8,8,0375700757
5,10,5,7,5,0,3,6,1,8,0070212570
7,7,6,3,1,2,5,4,7,5,0385480016
5,0,3,4,10,2,8,0,5,5,0061098361
9,4,4,9,4,5,7,1,5,0,0061093092
3,9,2,8,2,5,0,5,3,7,0425189414
10,8,3,9,9,5,0,3,6,0,0316781266
7,9,10,5,4,9,10,8,1,4,0373250223
5,6,4,8,0,6,9,6,3,8,0373711026
10,4,3,6,3,2,8,10,7,0,0375725784
6,8,7,7,5,10,3,7,2,8,038533656X
1,1,6,9,3,9,7,8,6,4,0345436911
7,3,1,10,5,8,0,10,9,6,0452284481
9,8,9,8,9,10,2,10,4,7,0345339703
7,3,10,10,0,0,3,5,7,5,0060929596
8,8,1,9,0,1,4,3,3,8,0374516901
10,7,5,0,1,5,10,1,9,4,0440131480
4,5,5,5,1,9,2,5,7,10,0440940001
0,0,10,1,10,5,8,3,2,7,0425163385
10,9,8,10,4,8,1,2,6,6,0671042262
5,5,1,9,5,3,2,10,1,0,0553585681
10,10,4,1,1,6,7,9,7,3,0743212002
0,10,6,0,10,3,7,1,5,5,037348397X
8,4,9,3,4,9,10,4,7,9,0679731148
7,1,6,7,10,5,4,10,8,2,2207252000
9,3,8,5,7,6,10,1,2,0,2266000489
8,6,0,2,3,3,4,2,2,0,0316693324
6,10,9,0,1,3,3,4,10,1,0553283685
3,0,1,0,9,9,3,3,6,9,0345367898
10,10,8,8,4,9,0,0,5,1,0440226430
7,8,3,4,10,7,2,4,2,9,031231616X
2,2,6,6,6,9,7,4,4,3,0894805770
6,9,3,1,3,7,8,2,6,8,0688177751
10,3,9,2,4,0,2,7,10,7,0345438329
3,1,7,7,9,3,2,1,8,0,0345401123
6,4,7,3,6,4,4,8,8,8,1551669501
5,5,4,8,9,7,6,6,5,4,0375707972
3,2,2,5,3,5,2,3,8,4,0618126988
6,9,1,4,8,10,2,8,10,5,0060094850
3,6,7,5,4,5,4,7,0,10,0872860175
6,9,9,10,1,8,0,10,9,5,0345446860
8,0,3,3,8,10,4,4,5,0,0399145087
0,8,2,3,0,8,7,1,7,6,0060192119
10,5,0,6,9,6,8,0,1,10,0140140352
8,8,5,5,3,3,4,2,0,0,0312990456
6,0,0,2,9,3,3,1,0,2,0316969680
10,3,2,7,9,0,1,6,3,7,3518368540
10,2,5,8,0,0,7,2,4,0,0786887842
4,10,5,7,2,2,10,10,9,8,1853260312
3,3,6,1,7,5,2,8,4,7,0399501487
6,7,6,2,1,6,2,2,1,3,0375411992
7,0,0,4,10,4,10,0,5,0,0440224764
4,8,4,5,7,10,0,1,8,2,0553572997
5,4,10,1,6,3,0,3,5,6,0380727501
6,6,2,5,7,3,7,1,9,8,0373218192
8,7,9,9,0,1,5,9,4,8,0515120006
4,1,9,3,8,0,10,0,6,10,0345416260
2,9,1,8,2,1,7,9,5,5,0385494785
9,10,6,6,10,5,3,10,8,5,0385486804
3,2,3,2,1,4,1,5,2,5,039914255X
10,9,8,0,5,8,10,3,10,1,0440236673
3,0,2,9,8,9,4,10,5,2,0316291161
4,10,7,5,3,1,8,0,0,3,0449208397
6,0,8,3,2,0,9,3,8,9,031215125X
5,5,0,9,1,10,5,1,2,3,0440235162
10,4,8,3,10,8,10,9,2,7,076790382X
0,10,8,8,9,1,3,7,6,0,0425158616
4,6,3,0,8,4,10,1,7,10,0062502182
1,2,9,0,10,1,6,9,1,5,0060175400
2,3,10,7,2,9,5,0,6,7,0671537458
10,7,2,9,0,8,5,10,8,6,0743437810
0,0,5,4,8,1,7,10,4,1,0517149257
9,10,10,5,9,7,3,1,10,4,0743222008
1,1,5,10,9,8,3,5,6,10,0312982194
5,7,3,0,6,2,5,1,8,0,0345380371
5,5,4,4,0,9,4,1,6,2,0316690619
3,2,2,3,4,0,3,10,7,9,0446610038
6,8,4,9,3,7,8,6,6,4,0440224608
3,9,0,9,9,6,0,0,4,8,0805019375
5,2,2,6,5,8,5,4,9,6,1884822738
0,6,2,8,5,8,4,6,3,6,0385492081
0,6,7,4,1,4,5,1,5,5,0425130215
0,0,10,9,2,9,9,2,3,1,067976402X
8,9,10,6,6,5,2,5,7,7,0064408329
10,8,0,0,2,2,9,7,9,0,0743456866
1,1,2,5,0,1,0,4,6,7,0440235464
9,0,6,4,9,0,2,6,9,0,0765342294
6,4,0,0,0,10,8,10,2,4,0451821971
10,9,8,5,8,7,7,0,8,5,0670894494
8,2,2,5,8,6,2,2,1,8,0345434692
2,10,4,8,7,1,2,1,7,5,034540288X
5,8,7,3,3,8,0,1,1,5,0802713661
3,10,9,2,2,2,5,7,10,6,0440237688
3,10,3,10,9,10,10,10,1,0,0374281602
8,1,7,8,3,7,8,9,9,4,0060970790
6,9,3,0,2,4,2,10,6,8,0156787334
5,9,0,6,2,4,9,3,9,4,0316182540
4,5,9,9,10,5,7,7,10,8,0446611611
7,10,1,9,10,0,9,1,1,2,0446604658
9,6,1,0,5,8,2,5,2,0,0553282476
4,9,10,3,6,5,9,6,4,3,0449212602
6,6,5,7,3,9,4,3,0,7,0684867621
0,4,5,5,4,2,4,7,1,5,0345413903
8,7,10,7,7,6,7,5,1,1,0590634275
7,10,0,5,5,10,3,10,10,9,0553582143
2,10,2,0,2,3,10,10,4,2,0679426159
5,10,4,2,5,5,7,1,0,3,0316569321
6,10,9,2,2,4,4,9,2,8,0679732241
3,2,10,1,9,10,8,3,2,6,0515090174
7,10,1,6,4,10,4,2,4,1,0515095826
3,5,0,9,3,5,8,10,10,1,1570719586
10,6,5,1,7,6,10,4,4,6,0385475713
8,10,8,8,5,9,5,2,0,6,0553375407
3,0,7,5,5,1,0,1,3,1,0679744479
0,6,10,10,7,5,3,5,2,7,0345454073
9,1,4,0,5,1,3,5,9,10,0671034022
7,7,10,5,3,7,7,9,0,3,0440208149
3,6,10,6,10,7,10,4,6,7,0451151259
8,2,2,3,4,9,0,6,8,7,0446607711
4,3,6,4,6,0,0,9,2,10,0345416880
1,1,6,9,1,10,3,1,5,7,0380771292
9,3,4,3,2,4,8,7,7,7,0060187271
7,6,7,10,7,7,9,6,0,3,0385497288
3,4,9,5,3,1,5,7,7,6,038548951X
5,1,6,10,4,5,9,7,7,2,0312278675
6,0,0,6,9,8,6,9,4,7,0312868308
1,8,5,8,1,2,7,0,9,6,0345434773
6,0,8,7,3,9,10,4,1,8,0515122491
5,2,6,8,2,1,6,6,3,10,0140265686
8,7,0,0,4,5,2,8,9,5,0140254544
3,6,7,8,10,5,5,7,4,2,0451524934
2,5,1,5,5,7,6,7,8,5,0345350499
2,9,2,10,0,10,4,3,8,8,0312976275
4,9,3,6,5,3,9,1,0,3,0767905180
3,0,5,3,0,0,0,7,9,7,059035342X
1,10,6,7,7,10,9,10,6,4,0316089699
0,8,6,1,5,1,0,6,1,1,0373708319
10,4,4,6,0,7,2,3,8,3,0140348107
9,4,6,3,0,8,3,8,5,0,0060506679
2,10,1,8,0,8,8,7,7,10,0375701427
0,10,7,9,2,10,6,10,0,0,0380014300
9,4,4,7,6,7,5,5,1,5,0671708635
4,2,5,7,8,0,2,2,10,7,0345342968
0,4,2,1,7,2,6,10,0,5,0192860925
2,7,5,1,5,6,4,2,3,3,0812550706
5,9,0,10,3,9,3,9,0,8,0553580302
3,6,2,9,2,7,7,10,0,9,0441328008
1,7,0,7,7,1,3,5,10,8,0671758896
7,7,6,8,1,2,9,7,5,9,0451177096
8,9,3,7,9,2,2,7,4,2,0345422384
9,10,0,2,8,4,9,1,6,1,0684818868
3,6,3,6,6,0,5,8,1,2,0312852487
9,4,8,3,0,3,5,4,0,3,0812511816
5,9,9,3,8,4,7,8,9,4,0871401185
5,0,10,6,3,10,1,4,2,5,1578562325
7,6,2,7,1,9,8,3,0,7,0385484518
6,10,4,9,4,6,4,7,10,5,0060922532
4,8,10,1,0,7,2,10,6,9,0440236703
10,7,5,9,8,6,9,4,7,1,0316779490
6,3,8,0,6,5,7,4,0,0,0375706410
8,9,5,9,4,0,5,5,2,7,0806957050
0,0,5,9,0,5,0,5,2,7,0140621407
5,10,0,4,7,2,5,4,5,9,0553274503
0,6,8,1,9,4,9,3,5,5,0345308239
10,1,1,3,0,8,6,6,2,10,0413537900
2,0,2,2,3,3,2,9,7,7,0425133540
0,6,10,1,0,2,3,5,9,4,0743469801
3,7,10,3,9,1,2,5,7,7,0671822209
10,8,6,1,7,6,7,2,6,9,0345384350
8,2,9,5,1,1,4,4,6,1,0060175532
10,6,4,5,7,9,3,6,5,9,0380731851
1,7,9,8,4,9,3,5,7,10,0684862719
2,9,10,10,0,3,3,0,8,2,0345452534
4,5,7,5,2,5,0,3,5,6,0316602051
10,10,9,2,8,6,0,1,0,10,0440221420
8,8,6,9,2,4,3,6,8,1,0451197879
7,8,9,9,8,9,6,8,8,2,0446604666
3,1,9,2,10,10,4,4,5,6,0061015725
6,0,1,8,9,1,5,10,10,0,0312958455
2,1,2,4,10,9,5,8,10,9,0553279912
3,6,5,1,9,10,10,10,7,6,0345353145
6,7,10,0,0,7,3,4,7,4,0553348973
9,3,5,4,6,9,6,3,4,2,0446516538
3,3,2,9,4,4,10,6,3,3,0440214041
8,5,3,1,5,1,4,5,3,2,0393011224
6,1,10,5,3,5,3,3,3,8,1895857058
6,2,2,5,5,3,8,3,8,3,0553476580
1,1,4,3,6,10,4,5,9,3,0525945040
1,9,8,9,6,3,2,9,2,8,044020562X
4,2,4,1,10,3,9,1,1,7,0140298479
0,6,4,10,7,0,10,6,4,3,0912365579
