Romance,Thriller,Fantasy,Science Fiction,Mystery,Non-Fiction,Historical,Horror,Adventure,Biography,User-ID
39,62,45,32,42,52,34,39,44,58,10354
39,37,25,42,21,18,30,44,32,34,10447
51,54,44,33,61,18,32,37,33,44,10532
49,51,24,37,40,57,49,29,29,43,10560
56,54,28,72,60,26,71,33,30,34,10819
20,12,12,28,16,40,16,32,12,24,11120
20,16,6,36,32,19,7,32,25,31,11224
8,24,72,48,56,0,24,40,16,32,11245
30,30,30,20,15,35,0,0,25,5,11400
36,28,36,20,57,23,50,13,52,36,11601
44,34,54,45,35,27,41,33,58,41,11629
14,7,14,16,12,11,12,11,9,19,11676
70,40,60,10,30,50,40,50,10,60,11687
21,18,34,16,37,10,58,53,37,64,11718
50,20,27,29,23,35,27,26,31,47,11724
53,60,55,59,20,31,24,41,20,43,11993
27,51,38,26,53,32,47,51,42,36,12100
31,42,24,3,35,38,38,56,38,7,12154
50,25,37,40,42,12,15,20,30,67,12272
26,18,20,42,12,28,28,26,26,25,12515
40,6,9,39,41,0,22,32,41,28,12537
38,40,40,30,34,31,10,34,29,33,12538
18,45,27,54,0,0,45,81,90,54,12569
2,8,14,2,9,5,18,9,9,17,12650
27,45,54,36,9,18,81,90,18,36,12657
55,30,47,57,57,52,50,20,52,15,12824
34,30,37,28,17,35,37,33,33,45,12835
69,26,46,49,64,65,50,45,52,43,12863
48,46,58,43,54,50,27,12,18,35,12917
17,41,51,29,33,50,38,28,38,50,12982
15,53,53,35,42,63,38,19,50,36,13082
28,0,36,12,12,36,32,20,12,0,13093
18,41,38,21,31,25,30,21,20,18,13126
30,15,39,19,38,53,41,25,53,35,13273
48,32,80,40,64,16,16,56,72,40,13279
64,32,52,4,40,4,44,20,24,24,13347
12,54,60,12,6,30,30,0,36,18,13518
55,9,46,53,44,45,68,30,56,61,13551
21,14,45,42,35,17,42,28,49,17,13552
36,39,14,21,54,31,36,46,37,32,13582
28,52,56,52,36,24,16,28,36,32,13666
60,50,72,47,60,31,45,53,47,62,13850
41,31,29,25,44,60,59,55,16,58,13995
57,44,21,24,33,37,39,44,56,37,14079
27,41,51,16,31,43,30,28,22,34,14173
45,44,12,28,40,58,20,60,50,30,14232
71,28,7,40,50,24,49,32,19,41,14387
47,43,50,42,43,35,53,39,40,33,14422
35,17,35,17,3,14,7,21,10,0,14456
66,42,58,26,40,21,53,29,34,32,14461
30,46,38,18,48,56,13,50,48,55,14521
19,71,20,21,27,21,42,24,15,37,14638
28,63,7,42,42,56,56,21,28,42,14698
28,21,19,22,22,21,2,31,15,9,14958
28,14,16,31,33,24,17,31,21,23,15021
41,34,37,75,24,53,66,28,80,17,15049
45,31,40,16,21,21,35,24,21,25,15208
40,35,35,46,55,45,59,57,29,18,15408
39,39,46,28,34,33,36,35,36,31,15418
45,54,81,81,9,9,81,54,0,63,15602
90,45,45,63,0,9,72,90,63,54,15670
16,26,26,0,2,0,10,13,24,21,15918
47,63,11,34,30,37,8,28,39,31,15945
15,39,31,10,33,18,35,34,33,28,15957
61,26,17,39,20,53,36,42,48,70,16009
45,45,36,72,81,63,54,54,45,36,16106
56,24,36,46,37,44,56,53,51,54,16161
33,30,47,15,39,62,58,42,49,46,16246
48,0,36,30,48,60,48,18,48,30,16263
80,40,40,80,64,8,24,32,0,56,16417
65,14,32,57,43,20,59,62,15,27,16504
12,20,44,40,4,60,12,48,48,52,16599
51,72,64,39,40,9,82,60,63,10,16634
14,56,7,0,63,49,14,42,7,70,16654
26,49,21,81,31,19,50,19,50,20,16718
13,33,46,62,24,45,21,24,36,27,16795
7,56,63,0,7,7,63,42,35,56,16908
33,32,27,18,35,22,31,32,43,33,16966
81,45,90,27,0,90,36,81,81,81,16996
40,48,59,67,29,25,43,32,32,27,17003
25,14,18,33,25,23,26,22,27,26,17183
55,61,43,34,66,47,61,34,54,57,17190
51,46,22,45,47,36,43,40,46,28,17282
12,48,54,24,54,48,36,54,12,30,17507
53,28,33,16,41,64,34,34,41,46,17667
27,13,12,30,17,30,43,42,37,43,17859
51,53,57,37,47,12,45,60,38,32,17926
51,50,62,54,34,31,52,51,65,29,17950
32,22,40,39,18,20,30,22,40,44,18038
39,38,21,45,44,34,17,57,8,17,18067
4,44,16,34,39,14,12,30,54,42,18082
11,53,67,36,21,24,55,31,35,27,18155
24,48,24,48,44,48,28,36,24,12,18172
0,0,0,0,0,0,0,0,0,0,18309
35,50,5,15,0,25,25,10,0,20,18323
10,100,50,20,40,100,40,90,20,20,18384
53,42,58,43,50,50,31,39,55,43,18401
6,30,6,48,6,30,42,30,12,24,18850
29,20,21,67,69,47,40,30,40,25,19085
63,0,63,81,81,0,72,0,27,72,19422
46,64,41,79,63,39,53,30,26,42,19493
15,55,51,28,33,25,62,14,16,33,19664
53,34,45,35,38,37,32,19,17,45,19711
80,0,40,40,8,80,56,40,80,72,19969
33,30,64,45,33,22,62,50,49,36,20060
30,83,50,43,50,78,37,18,54,42,20172
37,29,41,45,39,22,20,30,28,26,20180
58,40,27,53,53,54,74,33,20,23,20201
30,8,43,53,40,31,33,23,49,52,20336
14,24,17,17,16,40,12,24,23,27,20462
47,65,27,10,57,27,47,32,17,2,20561
0,0,0,0,0,0,0,0,0,0,20871
0,0,0,0,0,0,0,0,0,0,20918
50,100,60,50,60,20,30,80,20,10,20961
50,30,25,10,25,30,25,0,0,40,20971
25,23,48,26,5,36,36,25,24,42,21011
48,65,33,54,70,50,70,30,54,24,21014
36,32,60,52,36,47,65,33,65,8,21031
0,0,8,80,24,80,64,48,40,0,21229
44,52,48,20,64,48,20,0,44,64,21252
42,19,34,10,31,13,32,25,33,35,21356
0,49,63,63,56,56,63,42,63,14,21364
0,0,0,0,0,0,0,0,0,0,21368
19,45,36,26,32,28,19,16,24,25,21484
0,0,0,0,0,0,0,0,0,0,21540
30,36,36,36,12,0,30,12,12,12,21576
42,34,14,43,27,48,30,18,26,41,21618
0,51,59,30,46,68,43,30,21,73,21659
0,0,5,50,20,5,15,40,10,5,21684
45,62,48,52,55,30,46,20,58,30,22045
43,50,38,35,31,38,54,37,52,19,22074
43,52,50,44,62,69,15,17,56,66,22107
34,58,43,37,23,33,50,59,47,35,22154
8,32,24,48,32,56,24,40,24,8,22365
0,10,30,90,0,70,50,0,80,0,22409
32,39,54,47,54,38,36,52,30,42,22521
67,50,49,53,57,58,48,51,23,47,22625
63,63,63,63,70,49,42,7,0,35,22818
0,0,0,0,0,0,0,0,0,0,22824
44,42,27,52,56,76,55,53,55,23,23288
67,52,33,67,42,43,32,36,22,78,23511
25,50,36,55,25,55,35,34,30,51,23547
59,43,43,21,54,73,44,58,40,46,23571
29,17,49,60,15,32,38,21,63,45,23680
33,55,48,17,66,27,59,65,28,34,23699
33,16,0,16,13,26,20,16,33,20,23725
8,56,0,72,48,32,40,56,24,40,23768
5,5,5,25,15,35,0,45,15,45,23771
90,40,40,10,100,20,90,80,60,0,23871
44,26,19,28,36,41,40,24,21,24,23872
65,39,41,78,27,10,28,68,56,62,23902
0,0,0,0,0,0,0,0,0,0,23939
0,0,0,0,0,0,0,0,0,0,24082
42,35,7,21,70,14,14,14,70,21,24172
9,36,36,36,27,36,18,0,36,72,24186
45,30,23,15,27,29,27,42,26,44,24194
49,20,71,37,43,50,30,52,59,17,24433
0,0,0,0,0,0,0,0,0,0,24440
0,14,63,56,0,49,28,21,28,70,24624
23,12,40,33,34,42,33,19,41,27,24641
40,5,45,25,25,10,50,25,5,35,24733
38,49,52,40,47,52,24,34,15,56,24921
27,29,34,49,29,34,32,38,27,34,24933
14,35,14,70,28,70,42,70,63,21,24934
56,66,16,46,26,55,33,29,38,57,25131
0,0,0,0,0,0,0,0,0,0,25217
90,70,0,20,0,10,30,20,100,50,25409
48,36,72,52,36,56,44,12,56,36,25436
0,0,0,0,0,0,0,0,0,0,25466
0,0,0,0,0,0,0,0,0,0,25533
80,0,16,32,72,80,40,40,32,40,25601
49,51,28,27,57,30,34,9,17,53,25804
41,28,16,32,15,18,17,8,36,38,25827
12,42,37,53,44,28,27,60,36,43,25850
44,38,55,54,41,64,58,43,56,38,25890
60,48,36,60,42,54,12,0,36,42,25919
21,11,25,15,20,10,13,30,6,11,25981
51,24,58,38,43,22,45,21,58,51,26057
34,44,51,36,30,16,59,20,49,29,26084
0,0,0,0,0,0,0,0,0,0,26121
35,36,57,24,40,43,50,22,4,57,26153
35,70,28,7,28,56,21,63,7,14,26240
18,9,81,18,0,27,63,36,9,18,26371
0,54,81,63,45,81,27,54,18,9,26443
35,37,70,52,35,52,55,42,52,10,26487
77,52,85,35,28,44,58,13,15,39,26516
25,0,50,30,35,30,50,10,25,15,26535
35,25,51,35,34,49,56,40,47,21,26544
13,50,43,63,46,76,56,56,56,36,26583
31,23,47,52,50,41,50,55,27,24,26593
36,46,43,42,34,27,49,39,23,36,26620
5,40,25,50,0,10,30,30,20,10,26621
10,11,10,0,0,7,0,10,7,5,26813
0,0,0,0,0,0,0,0,0,0,26883
95,35,45,45,60,25,5,80,35,35,27140
33,19,40,39,30,4,30,25,57,31,27169
29,7,21,30,16,0,28,15,26,11,27363
37,26,47,42,55,42,25,34,39,14,27472
5,5,1,8,8,0,12,3,0,15,27593
36,45,15,38,34,30,26,21,19,50,27617
10,21,45,2,23,44,38,24,13,26,27647
48,42,39,28,37,36,33,41,33,44,27740
27,63,0,0,63,9,81,45,9,36,27812
26,31,58,33,42,47,54,38,32,34,27813
33,24,23,27,33,52,29,42,48,46,27875
20,30,40,50,0,30,100,90,40,60,28016
27,35,21,23,23,36,20,34,20,31,28177
40,12,53,59,60,29,24,37,37,21,28204
24,22,14,29,33,22,37,19,42,24,28255
69,52,30,48,52,9,71,33,42,24,28360
30,43,8,35,24,34,28,18,57,12,28454
14,24,36,18,26,47,26,32,18,11,28492
31,30,26,16,32,26,15,28,38,9,28523
42,34,26,42,21,32,22,20,32,18,28537
28,51,41,32,51,42,31,40,43,43,28591
28,38,68,20,36,52,56,64,17,26,28594
42,47,24,12,45,43,31,47,19,24,28619
16,51,36,56,38,33,38,37,39,40,28634
77,23,12,42,42,90,18,24,50,35,28666
10,8,18,10,4,2,10,0,12,12,28667
60,40,60,52,20,48,24,32,80,52,28735
44,53,37,10,52,43,36,35,32,57,28938
27,21,42,41,20,40,32,40,26,24,29070
0,0,0,0,0,0,0,0,0,0,29117
47,37,27,52,36,33,21,36,48,50,29209
34,44,58,44,52,41,46,47,67,67,29259
64,31,42,78,29,63,60,34,60,33,29526
55,51,44,58,46,40,17,34,39,34,29855
64,40,32,24,56,0,60,20,60,60,29974
54,36,48,24,0,24,30,60,6,42,30029
13,33,14,34,39,26,42,46,15,23,30035
18,39,29,59,47,32,48,31,54,42,30072
16,8,16,80,80,16,48,0,48,40,30081
3,0,21,10,0,31,35,35,17,31,30273
0,42,35,14,0,21,56,7,14,7,30276
32,35,49,49,16,30,11,16,42,49,30445
28,28,56,56,49,49,7,14,49,28,30487
27,25,25,38,24,31,37,54,33,40,30511
30,73,32,52,56,77,20,46,65,39,30533
7,52,26,33,23,21,5,17,17,31,30594
44,60,4,40,52,24,40,28,48,68,30711
10,10,0,8,16,6,4,0,2,4,30712
40,30,3,27,53,25,35,63,49,35,30716
49,72,50,53,26,51,54,51,57,38,30735
52,30,52,55,40,18,51,61,24,4,30806
21,30,36,19,39,44,27,11,29,47,30810
27,36,31,45,31,18,22,4,45,9,30824
35,7,70,42,42,21,7,70,42,0,30889
45,47,26,4,12,44,40,10,30,34,30898
54,28,36,50,32,10,60,44,40,54,30972
35,63,39,19,29,24,50,71,51,48,30985
61,34,51,45,39,52,54,39,61,21,30994
43,71,56,40,56,30,46,43,43,27,31008
30,47,41,27,37,20,47,20,44,39,31040
39,29,19,4,26,25,16,39,15,32,31050
6,12,30,60,42,0,18,0,6,42,31094
65,66,14,29,28,68,27,60,41,58,31226
38,40,62,46,32,42,38,31,46,36,31308
25,65,39,55,21,14,21,57,44,12,31315
20,39,48,36,34,20,26,33,9,28,31393
17,20,25,12,17,12,42,17,2,35,31468
21,20,33,19,47,37,37,27,29,41,31556
0,0,0,0,0,0,0,0,0,0,31681
57,50,60,37,57,85,55,42,47,40,31826
34,63,28,35,30,59,56,35,39,64,31846
64,16,48,0,24,24,48,56,0,32,31900
0,5,1,5,6,3,8,1,6,5,31984
48,70,38,35,45,51,46,39,24,35,32110
35,41,38,21,40,27,29,38,43,38,32148
0,41,28,42,9,24,7,12,6,16,32195
44,25,48,53,40,68,36,47,41,46,32250
22,33,30,47,65,26,32,25,52,44,32440
45,90,0,36,63,18,45,36,45,81,32569
43,49,29,39,8,26,46,56,28,30,32599
25,36,37,45,19,26,36,47,40,42,32627
0,39,70,28,15,30,3,31,28,27,32721
37,52,53,25,28,48,43,46,22,39,32773
27,15,30,24,32,26,17,27,27,34,32802
32,16,0,40,64,8,64,56,80,64,33124
45,23,56,28,53,33,45,66,38,55,33145
10,45,15,15,35,0,35,40,50,30,33179
75,5,45,35,65,25,55,20,50,75,33283
31,46,60,52,48,40,17,24,40,39,33319
90,45,18,90,81,54,54,9,0,81,33408
18,0,9,90,81,54,54,0,81,54,33517
52,23,52,37,46,47,52,34,51,37,33580
30,41,41,42,38,29,38,44,47,46,33818
35,18,25,30,36,24,41,25,29,35,33826
18,36,36,54,48,54,42,42,36,54,33862
5,50,15,10,0,45,35,20,15,45,33888
40,5,25,10,30,50,15,20,45,25,33933
32,20,12,16,40,0,12,36,8,32,33943
32,16,56,12,64,20,48,48,4,44,33958
16,60,48,65,32,44,57,25,10,32,33974
25,24,18,17,27,26,45,34,28,36,34300
30,30,67,56,38,48,24,46,61,37,34526
73,56,33,49,14,36,66,72,32,44,34588
0,8,12,4,36,40,16,12,40,4,34636
22,32,22,30,25,5,10,27,17,25,34801
45,36,30,13,14,28,48,22,29,29,35030
28,42,21,63,28,63,14,7,7,28,35320
26,40,55,23,42,21,36,14,34,46,35407
39,23,29,65,33,48,15,43,31,26,35433
9,38,15,56,30,22,22,45,31,49,35445
0,19,59,18,36,24,24,23,52,48,35490
40,40,80,0,32,0,80,64,72,24,35704
72,32,8,72,40,48,8,8,72,72,35718
17,18,23,25,23,25,31,13,32,24,35836
32,43,35,43,23,32,39,57,53,40,35857
52,30,17,51,66,46,49,37,50,24,35859
37,37,16,28,39,40,38,32,28,15,35918
27,29,15,41,47,51,41,30,15,38,35921
0,32,40,72,80,8,48,24,32,16,36003
42,48,6,36,24,12,48,30,60,0,36043
44,72,35,55,43,32,40,54,40,32,36135
37,18,36,16,49,34,29,39,34,56,36256
44,42,37,44,44,27,28,36,27,23,36299
47,35,27,26,24,25,32,64,57,25,36327
0,0,0,0,0,0,0,0,0,0,36369
69,41,63,55,54,59,55,49,49,52,36554
22,63,31,37,27,18,38,18,40,31,36606
42,57,58,31,22,24,40,54,34,50,36609
42,48,45,29,58,51,45,51,58,20,36715
15,10,27,32,47,37,22,17,27,40,36741
40,0,40,35,20,25,30,15,25,30,36807
25,37,39,31,33,13,52,30,28,12,36817
62,31,36,43,41,50,37,49,38,23,36836
18,53,52,48,43,41,44,39,33,30,36839
60,53,33,13,46,36,36,83,60,30,36907
27,36,40,18,45,0,27,31,63,31,36935
25,70,75,35,50,20,30,60,55,55,37030
0,0,0,0,0,0,0,0,0,0,37034
47,43,69,35,45,30,33,40,48,40,37208
95,25,55,30,65,50,75,5,75,65,37227
9,22,18,27,22,40,33,33,4,28,37293
63,18,30,55,26,28,29,28,20,61,37310
30,19,35,36,23,43,68,27,57,26,37400
15,21,55,30,27,21,37,24,12,58,37447
24,37,16,35,47,32,45,52,38,20,37512
39,39,29,17,31,27,31,20,56,29,37538
40,56,32,44,48,72,56,64,28,32,37556
21,21,70,28,35,42,35,0,7,42,37567
52,60,15,40,65,42,47,77,67,42,37597
52,59,31,44,45,24,26,26,30,38,37644
40,57,48,34,56,32,16,51,56,50,37712
43,43,38,51,57,44,33,29,41,51,37790
34,41,51,33,40,31,53,5,34,16,37874
0,0,25,45,45,20,50,45,25,40,37929
4,7,29,55,43,21,45,27,59,43,37950
20,60,22,72,62,65,20,12,47,27,37968
44,13,37,6,48,34,44,32,31,48,37974
32,54,22,57,35,21,47,40,37,43,38023
43,30,36,37,43,45,28,31,52,44,38273
26,21,48,16,45,33,38,54,36,27,38281
0,0,0,0,0,0,0,0,0,0,38464
21,28,21,25,15,27,7,28,15,17,38556
0,0,0,0,0,0,0,0,0,0,38589
63,22,51,29,61,32,19,48,48,52,38654
15,51,49,44,43,35,34,42,31,52,38781
32,40,64,40,56,48,0,8,24,0,38832
81,27,18,45,81,90,72,27,9,90,38887
40,0,0,40,24,24,80,40,80,48,38933
0,27,54,27,36,54,27,36,54,0,38950
56,56,22,24,13,23,33,13,40,35,39227
45,32,50,51,34,34,36,49,51,50,39281
54,33,46,49,52,23,25,73,31,49,39345
16,16,14,7,25,24,29,30,15,29,39353
32,45,42,36,46,36,53,28,43,48,39396
13,43,61,42,27,36,47,22,19,24,39467
49,42,56,28,28,70,70,56,70,28,39502
16,23,32,10,29,46,32,27,37,41,39527
33,52,66,28,48,33,64,60,45,57,39616
25,60,63,61,26,23,45,50,33,32,39646
10,20,30,0,10,0,5,30,30,10,39773
30,30,60,10,70,50,20,80,40,70,40330
28,11,22,35,31,15,30,16,18,15,40415
18,36,0,45,18,0,81,45,81,9,40640
36,40,28,64,65,43,29,36,46,60,40889
21,63,70,70,28,21,70,63,49,35,40914
37,38,57,33,44,35,46,32,56,38,40922
35,16,16,9,68,27,60,32,33,31,40943
30,30,27,43,40,27,32,35,19,29,41084
4,40,64,48,72,52,24,56,68,28,41086
54,25,17,36,40,38,19,28,21,47,41177
18,25,23,42,36,43,44,46,42,20,41364
43,28,35,20,50,35,37,42,29,31,41449
60,70,15,40,15,15,30,35,85,60,41450
41,37,29,41,38,18,35,42,39,18,41455
54,49,72,27,22,54,76,9,18,85,41589
7,27,12,18,15,38,38,32,37,40,41596
3,27,16,3,47,43,43,32,26,8,41700
65,22,38,39,31,49,38,43,39,47,41757
15,32,53,50,31,39,51,44,44,34,41781
54,26,34,48,29,41,30,23,24,68,41831
27,20,10,35,28,24,24,28,25,23,41841
40,32,32,64,40,16,8,64,72,24,41897
7,70,7,21,42,35,28,21,7,70,41911
50,24,39,19,30,57,40,35,32,42,42093
15,0,0,20,5,15,0,15,50,25,42323
40,40,52,16,32,48,56,20,36,44,42419
30,26,30,40,44,42,22,27,33,41,42458
63,58,45,30,41,39,49,28,53,27,42573
42,34,38,62,66,44,72,56,60,48,42718
32,32,32,0,0,72,8,0,56,24,42798
38,33,25,40,23,45,48,50,48,28,42914
36,48,56,40,48,44,28,36,20,44,43004
39,61,49,39,52,25,43,15,55,27,43006
32,16,16,45,37,38,49,33,57,22,43021
10,42,35,10,24,7,52,24,28,49,43118
37,23,26,41,29,34,41,30,51,52,43246
27,5,28,3,27,15,48,3,31,31,43282
70,21,63,0,42,63,35,70,0,56,43309
70,49,28,63,14,7,21,49,0,63,43359
22,4,40,45,0,0,18,13,0,13,43397
24,33,35,33,35,27,23,45,43,44,43436
0,36,54,45,36,63,18,45,36,63,43481
40,56,13,71,31,62,48,30,26,25,43619
44,29,40,24,8,24,48,33,53,55,43678
45,31,28,19,40,47,13,30,54,45,43687
2,43,50,10,21,57,38,32,12,46,43807
63,66,52,40,39,19,61,28,27,17,43842
19,42,47,37,38,34,26,47,53,43,43910
15,5,7,7,22,15,17,7,17,0,43955
77,50,77,37,39,44,23,61,29,61,43962
26,37,34,14,40,59,42,50,44,39,44089
47,53,46,66,59,52,45,24,47,64,44190
58,68,68,59,66,55,52,59,34,36,44252
36,66,29,42,62,46,32,69,50,16,44296
38,80,61,62,4,27,28,54,34,28,44535
17,39,16,24,13,42,18,46,24,60,44595
95,70,19,40,20,36,30,76,45,27,44728
2,48,18,50,56,26,29,48,32,45,44845
36,18,40,45,27,18,67,54,76,54,44852
29,37,59,35,29,41,52,40,42,56,44893
40,60,55,70,45,40,70,25,45,55,45113
0,53,47,25,29,17,49,59,33,11,45315
42,38,33,32,28,53,50,53,25,55,45340
24,73,44,34,39,58,14,35,36,52,45557
49,15,17,43,61,42,57,62,42,28,46145
0,0,0,0,0,0,0,0,0,0,46197
77,85,42,43,53,55,54,48,45,61,46269
0,42,49,56,70,49,42,14,7,14,46293
30,36,41,39,30,19,14,25,16,33,46351
43,34,37,47,43,41,34,24,42,35,46398
66,35,33,42,62,36,48,36,51,66,46443
25,72,52,40,2,20,42,50,50,57,46461
28,10,21,17,32,18,25,22,23,20,46892
20,37,20,34,42,37,40,29,39,22,46909
46,23,60,56,28,48,38,4,54,58,47128
35,32,15,30,27,27,17,15,22,20,47279
42,17,44,13,44,26,29,46,40,60,47316
26,32,32,57,70,16,36,32,21,35,47605
38,16,33,15,32,33,11,29,18,32,47609
0,0,0,0,0,0,0,0,0,0,47635
51,23,32,10,34,42,62,95,81,54,47779
42,55,25,19,44,36,8,48,60,70,47856
37,28,48,45,41,37,37,13,64,18,47971
31,58,27,32,28,48,22,51,52,37,48025
23,15,24,28,27,45,11,13,11,39,48037
49,36,75,51,17,23,66,60,18,59,48046
22,42,62,42,44,43,60,43,27,26,48217
50,70,70,50,30,30,30,50,0,10,48268
0,0,0,0,0,0,0,0,0,0,48326
35,24,49,45,25,42,54,29,20,34,48355
53,45,28,33,21,25,36,63,40,71,48494
9,57,36,64,24,32,63,77,26,45,48579
60,10,40,10,30,20,100,50,100,40,48911
26,24,30,40,24,32,32,27,37,41,48975
38,28,16,46,21,19,55,19,33,22,49109
8,10,7,6,12,13,16,6,16,13,49144
75,50,50,85,30,20,60,15,55,50,49154
49,63,51,70,45,39,52,52,76,29,49155
42,24,41,35,32,35,37,38,23,7,49212
24,0,40,24,0,0,0,56,72,56,49225
28,42,63,42,42,63,21,21,14,21,49392
31,51,32,38,48,36,46,14,42,29,49422
52,44,56,38,52,17,35,20,59,42,49460
0,0,0,0,0,0,0,0,0,0,49582
70,90,80,10,100,90,10,40,40,50,49771
24,45,48,39,31,50,38,32,32,43,49792
0,0,3,27,30,6,3,9,21,6,49889
36,23,34,32,30,54,39,39,44,40,49980
42,41,53,49,67,58,46,46,45,52,50073
23,32,36,32,19,41,16,39,23,37,50225
