ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books
0425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group
0061042943,Final Appeal,Lisa Scottoline,1994,HarperTorch
0140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper)
0062507249,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco
0684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books
0449207757,Davita's Harp,Chaim Potok,1990,Fawcett Books
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
0446525502,The Rescue,Nicholas Sparks,2000,Warner Books
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
0688180639,Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999,HarperCollins
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown"
0425184129,Big Trouble,Dave Barry,2002,Berkley Publishing Group
0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
0679442790,The Reader,Bernhard Schlink,1997,Random House
0060191929,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins
0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
0446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books
0446527793,The Guardian,Nicholas Sparks,2003,Warner Books
0446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
0316693200,2nd Chance,James Patterson,2002,"Little, Brown"
0399148582,You Cannot Be Serious,John McEnroe,2002,Putnam Publishing Group
0451176812,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
057120354X,Awful End (Eddie Dickens Trilogy S.),Philip Ardagh,2000,Faber Children's Books
0743222229,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside
2253063339,Les Fourmis,Bernard Werber,2002,LGF
1405200677,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002,Egmont Childrens Books
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
0060934719,stardust,Neil Gaiman,2001,Perennial
0451456548,Cold Iron,Melisa Michaels,1997,Roc
0440117291,DREAMSNAKE,VONDA MCINTYRE,1986,Dell
0425049981,Titan,John Varley,1980,Berkley Publishing Group
0786886463,A Density of Souls,Christopher Rice,2001,Miramax
0380788497,Changer,Jane Lindskold,1998,Eos
0307215342,Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,1977,Random House Childrens Books
0345403339,Saving Grace,LEE SMITH,1996,Ballantine Books
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
0743211383,Dreamcatcher,Stephen King,2001,Scribner
0451205421,The Door to December,Dean R. Koontz,2002,Signet Book
0064405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy
0152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
0439221714,"The Secret of the Unicorn (Avalon Web of Magic, 4)",Rachel Roberts,2000,Scholastic Paperbacks
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
0345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey
0753804700,Reader,Bernhard Schlink,0,Phoenix Books
0345428544,"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Michael A. Stackpole,2000,Del Rey Books
0671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket
0380820447,"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade
0451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
0385493800,The Testament,John Grisham,1999,Doubleday Books
0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books
0440222818,Guilt,John T. Lescroart,1998,Island
0451204050,On Secret Service,John Jakes,2001,Signet Book
038533334X,Charming Billy,Alice McDermott,1999,Delta
0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books
0515134368,The Penwyth Curse,Catherine Coulter,2004,Jove Books
0394578791,A Reporter's Life,WALTER CRONKITE,1996,Knopf
0380817144,Lord of the Silent: A Novel of Suspense,Elizabeth Peters,2002,Avon
0446364762,The Stars Shine Down,Sidney Sheldon,1993,Warner Books
0064472779,All-American Girl,Meg Cabot,2003,HarperTrophy
0553581279,The Silver Metal Lover,Tanith Lee,1999,Spectra Books
0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
042512892X,Into the Darkness,Barbara Michaels,1996,Berkley Publishing Group
0425113892,Someone in the House,Barbara Michaels,1989,Berkley Publishing Group
0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey
0553568760,Natural Causes,Michael Palmer,1995,Bantam Books
034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books
0140620109,Emma (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
0385334036,The Smoke Jumper,Nicholas Evans,2001,Delacorte Press
0345347536,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics
0679743464,Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,1993,Vintage Books USA
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,1960,Random House Books for Young Readers
0060972777,This Boy's Life: A Memoir,Tobias Wolff,1989,Perennial
0345418018,The World According to Garp (Ballantine Reader's Circle),John Irving,1997,Ballantine Books
0312420145,The Twenty-Seventh City : A Novel (Bestselling Backlist),Jonathan Franzen,2001,Picador
0671789422,Possessing the Secret of Joy,Alice Walker,1993,Pocket
014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books
0140077022,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books
0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell
0316777730,Naked,David Sedaris,1998,Back Bay Books
0140070206,Ironweed,William J. Kennedy,1989,Penguin Books
0140042393,The Grapes of Wrath,John Steinbeck,1976,Penguin USA
0446601241,Kiss the Girls,James Patterson,1995,Warner Books
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage
0345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,1997,Ballantine Books
0671027344,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV
0380789035,American Gods,Neil Gaiman,2002,HarperTorch
0345358791,2061: Odyssey Three,Arthur C. Clarke,1991,Del Rey Books
0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette
0380789019,Neverwhere,Neil Gaiman,1998,Avon
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon
0786866276,Mother of Pearl,Melinda Haynes,1999,Hyperion
0140620338,Picture of Dorian Gray,Oscar Wilde,0,Penguin Putnam~mass
0425137015,Timeless/Four Breathtaking Tales of Hearts That Reach Across Time-For Love: A Midsummer Day's Dream/Lovers of the Golden Drum/Out of Time/Echoes of L,Linda Lael Miller,1997,Berkley Publishing Group
000649840X,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk
0099771519,Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square
067102535X,"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket
0876855575,Ham on Rye,Charles Bukowski,1982,Ecco
0385498721,Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial
0385314744,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,Delacorte Press
0894803700,"14,000 Things to Be Happy About",Barbara Ann Kipfer,1990,Workman Publishing
0316929190,All Too Human : A Political Education,George Stephanopoulos,1999,"Little, Brown"
0439404371,The Thief Lord,Cornelia Funke,2002,Scholastic
0679741011,"Sex, Art, and American Culture: Essays",Camille Paglia,1992,Vintage Books USA
044100962X,Myth-Ion Improbable (Myth Books),Robert Asprin,2002,Ace Books
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam
0345285549,Elfstones of Shannara,Terry Brooks,1990,Del Rey Books
0345290240,Sword of Shannara,Terry Brooks,1980,Ballantine Books
0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
0373218400,Table For Two,Nora Roberts,2002,Silhouette
0374216495,The Museum Guard,Howard Norman,1998,Farrar Straus Giroux
0060192895,Hunting Badger,Tony Hillerman,1999,HarperCollins Publishers
0345435249,Darwin's Radio,Greg Bear,2000,Ballantine Books
0441003257,Good Omens,Neil Gaiman,1996,Ace Books
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
0399149759,Flashback,Nevada Barr,2003,Putnam Publishing Group
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA
0671038184,Jewel,Bret Lott,1999,Washington Square Press
0060916508,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990,Perennial
0142000663,The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),John Steinbeck,2002,Penguin Books
0590112899,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1998,Scholastic Point
0590660543,Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point
0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
0552999512,Away from It All,Judy Astley,2003,Trafalgar Square
006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial
0140317937,The Neverending Story,Michael Ende,1985,Penguin USA
0743225406,The Shipping News : A Novel,Annie Proulx,2001,Scribner
0553256696,Hiding Place,Corrie Ten Boom,1984,Bantam Books
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
0786885688,Shopgirl,Steve Martin,2001,Hyperion
0345387007,Tangle Box,TERRY BROOKS,1995,Del Rey
037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books
0609608444,"The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)",ERIK LARSON,2003,Crown
1558744606,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications
080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
0451526503,Adventures of Huckleberry Finn (Signet Classics (Paperback)),Mark Twain,1997,Signet Book
014131088X,Speak,Laurie Halse Anderson,2001,Speak
0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books
0385508417,Skipping Christmas,JOHN GRISHAM,2002,Doubleday
0385510438,The Last Juror,John Grisham,2004,Doubleday
0380723638,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon Books
0425185710,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002,Berkley Publishing Group
0061030651,U.S.S. Seawolf,Patrick Robinson,2001,HarperTorch
0671527215,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket
0671522817,Braveheart,Randall Wallace,1995,Pocket
0671318314,Callahan's Lady,Spider Robinson,2001,Baen
1558612815,Allegra Maud Goldman,Edith Konecky,2001,Feminist Press
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books
0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial
0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
0679772677,A Civil Action,JONATHAN HARR,1996,Vintage
0312983824,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks
0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press
0451187903,Sense and Sensibility,Jane Austen,1995,Signet Book
0671036505,The Vineyard,Barbara Delinsky,2001,Pocket Books
0553213504,The Count of Monte Cristo (Bantam Classics),ALEXANDRE DUMAS,1984,Bantam
0394758285,The Big Sleep,Raymond Chandler,1992,Vintage Books USA
0671004565,We'll Meet Again,Mary Higgins Clark,2000,Pocket
0375703055,Ellen Foster,Kaye Gibbons,1997,Vintage Books
