User-ID,Location,Age
18401,"chicago, illinois,",
18850,"berlin, berlin, germany",28.0
19085,"menomonie, wisconsin, usa",60.0
19422,"indialantic, florida, usa",37.0
19493,"baldwin, ,",
19664,"katonah, new york, usa",19.0
19711,"katy, texas, usa",
19969,"antelope, california, usa",44.0
20060,"baltimore, maryland, usa",48.0
20172,"saratoga springs, utah, usa",27.0
20180,"sacramento, california, usa",36.0
20201,"grove city, ohio, usa",31.0
20336,"ballston spa, new york, usa",32.0
20462,"bossier city, louisiana, usa",
20561,"baltimore, maryland, usa",40.0
20871,"laives (bz), trentino alto adige, italy",
20918,"porto, porto, portugal",30.0
20961,"ottawa, ontario, canada",47.0
20971,"sacramento, california, usa",20.0
21011,"san francisco, california, usa",44.0
21014,"fresno, california, usa",
21031,"alexandria, virginia, usa",36.0
21229,"blairmore, alberta, canada",
21252,"duluth, minnesota, usa",28.0
21356,"westwood, new jersey, usa",56.0
21364,"san diego, california, usa",32.0
21368,"currie, midlothian, united kingdom",30.0
21484,"madison, wisconsin, usa",21.0
21540,"edmonton, alberta, canada",
21576,"memphis, tennessee, usa",31.0
21618,"atlanta, georgia, usa",24.0
21659,"san jose, california, usa",31.0
21684,"austin, minnesota, usa",37.0
22045,"sacramento, california, usa",
22074,"san luis obispo, california, usa",
22107,"eagan, minnesota, usa",45.0
22154,"cleveland, ohio, usa",36.0
22365,"castle rock, colorado, usa",51.0
22409,"toledo, ohio, usa",28.0
22521,"montgomery, alabama, usa",18.0
22625,"lynbrook, new york, usa",54.0
22818,"franklin, pennsylvania, usa",28.0
22824,"lisbon, lisbon, portugal",49.0
23288,"wolseley, saskatchewan, canada",
23511,"chapel hill, north carolina, usa",56.0
23547,"mcallen, texas, usa",26.0
23571,"burbank, california, usa",41.0
23680,"carmichael, ,",
23699,"minneapolis, minnesota, usa",25.0
23725,"belo horizonte, minas gerais, brazil",57.0
23768,"st. louis, missouri, usa",45.0
23771,"ogden, utah, usa",
23871,"pompano beach, florida, usa",
23872,"tulsa, oklahoma, usa",22.0
23902,"london, england, united kingdom",
23939,"padova, veneto, italy",33.0
24082,"kuala lumpur, wilayah persekutuan, malaysia",28.0
24172,"gawler sth, south australia, australia",45.0
24186,"vineland, new jersey, usa",36.0
24194,"palos hills, illinois, usa",20.0
24433,"deventer, overijssel, netherlands",37.0
24440,"lisboa, lisboa, portugal",35.0
24624,"decatur, georgia, usa",38.0
24641,"chico, california, usa",
24733,"oswego, new york, usa",32.0
24921,"higley, arizona, usa",29.0
24933,"long island, new york, usa",44.0
24934,"marshfield, massachusetts, usa",
25131,"grimes, iowa, usa",
25217,"burnley, england, united kingdom",
25409,"la mesa, california, usa",31.0
25436,"chambery, savoie, france",30.0
25466,"toulouse, midi-pyrénées, france",33.0
25533,"derby, derbyshire, united kingdom",38.0
25601,"gilbert, arizona, usa",41.0
25804,"halifax, nova scotia, canada",
25827,"austin, texas, usa",33.0
25850,"mastic beach, new york, usa",50.0
25890,"ridgewood, nj, usa",
25919,"evansville, indiana, usa",
25981,"nj, new jersey, usa",
26057,"halifax, nova scotia, canada",18.0
26084,"tuscaloosa, alabama, usa",21.0
26121,"porto, porto, portugal",27.0
26153,"bismarck, north dakota, usa",42.0
26240,"sacramento, california, usa",
26371,"vancouver, british columbia, canada",65.0
26443,"malakoff, hauts-de-seine, france",27.0
26487,"winder, georgia, usa",44.0
26516,"victor, montana, usa",67.0
26535,"hickory, mississippi, usa",41.0
26544,"woodbridge, virginia, usa",37.0
26583,"dollard des ormeaux, quebec, canada",
26593,"peoria, arizona, usa",
26620,"napa, california,",
26621,"haskell, new jersey, usa",
26813,"città di castello, umbria, italy",28.0
26883,"vienna, vienna, austria",
27140,"baltimore, maryland, usa",49.0
27169,"catlettsburg, kentucky, usa",
27363,"leicester, england, united kingdom",30.0
27472,"bountiful, utah, usa",41.0
27593,"logroño, la rioja, spain",
27617,"beaverton, ontario, canada",32.0
27647,"lisboa, lisboa, portugal",
27740,"san diego, , usa",57.0
27812,"long beach, california, usa",33.0
27813,"boerne, texas, usa",34.0
27875,"new port richey, florida, usa",
28016,"port clinton, ohio, usa",31.0
28177,"grand rapids, michigan, usa",26.0
28204,"south ohio, nova scotia, canada",61.0
28255,"richmond hill, ,",23.0
28360,"oakwood, georgia, usa",15.0
28454,"portland, maine, usa",50.0
28492,"slough, england, united kingdom",31.0
28523,"springfield, missouri, usa",24.0
28537,"bochum, nordrhein-westfalen, germany",29.0
28591,"michie, tennessee, usa",33.0
28594,"thunder bay, ontario, canada",18.0
28619,"hartford, connecticut, usa",
28634,"bad axe, michigan, usa",28.0
28666,"irving, texas, usa",31.0
28667,"norwood, massachusetts, usa",26.0
28735,"hannover, niedersachsen, germany",58.0
28938,"asheville, north carolina, usa",38.0
29070,"upper hutt, wellington, new zealand",37.0
29117,"lugano, ticino, switzerland",
29209,"boca raton, florida, usa",
29259,"mt. airy, , usa",39.0
29526,"knoxville, tennessee, usa",26.0
29855,"morris, connecticut, usa",53.0
29974,"gulfport, florida, usa",
30029,"simi valley, california, usa",37.0
30035,"vancouver, british columbia, canada",37.0
30072,"st. louis, missouri, usa",11.0
30081,"east providence, rhode island, usa",25.0
30273,"naples, florida, usa",25.0
30276,"wildwood, new jersey, usa",49.0
30445,"kuala lumpur, ,",23.0
30487,"newbury park, california, usa",40.0
30511,"culemborg, gelderland, netherlands",
30533,"charleston, south carolina, usa",
30594,"redding, , usa",25.0
30711,"sydney, new south wales, australia",32.0
30712,"edinburgh, scotland, united kingdom",
30716,"new york, new york, usa",23.0
30735,"corvallis, oregon, usa",
30806,"halifax, nova scotia, canada",24.0
30810,"berlin, berlin, germany",
30824,"saint paul, minnesota, usa",45.0
30889,"martinez, ,",
30898,"richmond, virginia, usa",43.0
30972,"columbiana, alabama, usa",47.0
30985,"cape coral, florida, usa",
30994,"mission hills, california, usa",
31008,"london, england, united kingdom",29.0
31040,"san ramon, california, usa",
31050,"woodbine, maryland, usa",
31094,"cleveland, wisconsin, usa",
31226,"sofia, n/a, bulgaria",33.0
31308,"san jose, california, usa",38.0
31315,"henryville, indiana, usa",34.0
31393,"portland, oregon, usa",
31468,"yorktown, virginia, usa",33.0
31556,"chula vista, california, usa",51.0
31681,"london, england, united kingdom",
31826,"jasper, missouri, usa",54.0
31846,"phoenix, , usa",
31900,"levittown, new york, usa",12.0
31984,"bremen, bremen, germany",40.0
32110,"derry, new hampshire, usa",29.0
32148,"edmonton, alberta, canada",
32195,"fall river, massachusetts, usa",
32250,"gta, ontario, canada",29.0
32440,"dunedin, otago, new zealand",
32569,"richmond hill, ontario, canada",19.0
32599,"york, south carolina, usa",17.0
32627,"casper, wyoming, usa",49.0
32721,"toulouse, haute-garonne, france",36.0
32773,"olathe, kansas, usa",28.0
32802,"courtenay, british columbia, canada",
33124,"london, ontario, canada",
33145,"saint-dizier, champagne-ardenne, france",30.0
33179,"freedonia, emilia romagna, antarctica",
33283,"winnipeg, manitoba, canada",26.0
33319,"calgary, alberta, canada",24.0
33408,"barcelona, catalunya - barcelona, spain",39.0
33517,"manchester, england, united kingdom",47.0
33580,"rockwell, north carolina, usa",27.0
33818,"winnipeg, manitoba, canada",29.0
33826,"cape girardeau, missouri, usa",
33862,"abingdon, maryland, usa",
33888,"oldham, england, united kingdom",48.0
33933,"hull, massachusetts, usa",35.0
33943,"lyon, rhône-alpes, france",25.0
33958,"new orleans, louisiana,",
33974,"barnhart, missouri, usa",24.0
34300,"burlington, ontario, canada",35.0
34526,"peterborough, england, united kingdom",
34588,"west linn, oregon, usa",
34636,"orlando, florida, usa",
34801,"henderson, nevada, usa",47.0
35030,"somerville, massachusetts, usa",26.0
35320,"melbourne, victoria, australia",24.0
35407,"gütersloh, nordrhein-westfalen, germany",48.0
35433,"wangen, zürich, switzerland",40.0
35445,"terre haute, indiana, usa",31.0
35490,"hannover, niedersachsen, germany",31.0
35704,"kansas city, missouri, usa",53.0
35718,"pfaffenhofen an der ilm, bayern, germany",32.0
35836,"rochester, new york, usa",34.0
35857,"mentor, ohio, usa",36.0
35859,"duluth, minnesota, usa",
35918,"reno, nevada, usa",
35921,"mentor, ohio, usa",8.0
36003,"shah alam, selangor, malaysia",26.0
36043,"new york, new york, usa",30.0
36135,"charleston, south carolina, usa",
36256,"amarillo, texas, usa",39.0
36299,"austin, texas, usa",50.0
36327,"wirtz, virginia, usa",
36369,"olesa de montserrat, barcelona, spain",30.0
36554,"carrboro, north carolina, usa",48.0
36606,"san marcos, california, usa",39.0
36609,"zachary, louisiana, usa",32.0
36715,"lexington, kentucky, usa",
36741,"hr. grace, newfoundland, canada",24.0
36807,"wisconsin rapids, wisconsin, usa",27.0
36817,"south hadley, massachusetts, usa",29.0
36836,"raleigh, north carolina, usa",56.0
36839,"deland, florida, usa",33.0
36907,"dunnville, ontario, canada",39.0
36935,"annapolis, maryland, usa",62.0
37030,"la monte, missouri, usa",42.0
37034,"roma, lazio, italy",30.0
37208,"mesa, arizona, usa",30.0
37227,"hamilton, ohio, usa",27.0
37293,"whitehorse, yukon territory, canada",41.0
37310,"americus, georgia, usa",33.0
37400,"portland, oregon, usa",27.0
37447,"kingston, new york, usa",
37512,"tulsa, oklahoma, usa",27.0
37538,"kuala lumpur, n/a, malaysia",
37556,"wilton, maine, usa",
37567,"medway, kent, united kingdom",36.0
37597,"cherry valley, california, usa",25.0
37644,"sudbury, massachusetts, usa",18.0
37712,"cincinnati, ohio, usa",23.0
37790,"oshawa, ontario, canada",
37874,"williamsburg, virginia, usa",43.0
37929,"toronto, ontario, canada",
37950,"calgary, alberta, canada",
37968,"roanoke, virginia, usa",50.0
37974,"rochester, new york, usa",
38023,"hayward, california, usa",30.0
38273,"chandler, arizona, usa",
38281,"barcelona, catalunya, spain",33.0
38464,"tharston, norwich, england, united kingdom",33.0
38556,"edmonton, alberta, canada",
38589,"santa coloma de gramenet, catalunya, spain",36.0
38654,"kitchener, ontario, canada",17.0
38781,"kingsville, texas, usa",31.0
38832,"raleigh, north carolina, usa",52.0
38887,"apple valley, minnesota, usa",
38933,"san diego, california, usa",37.0
38950,"berlin, berlin, germany",26.0
39227,"san diego, california, usa",37.0
39281,"morris plains, new jersey, usa",45.0
39345,"jacksonville, florida, usa",47.0
39353,"saint john, new brunswick, canada",11.0
39396,"bonn, nordrhein-westfalen, germany",20.0
39467,"barcelona, catalunya, spain",35.0
39502,"kirkwood, missouri, usa",56.0
39527,"santeramo in colle, bari, italy",32.0
39616,"las vegas, nevada, usa",38.0
39646,"fairless hills, pennsylvania, usa",35.0
39773,"miami, florida, usa",49.0
40330,"germantown, maryland, usa",
40415,"san francisco, california, usa",34.0
40640,"bowen island, british columbia, canada",39.0
40889,"brainerd, minnesota, usa",37.0
40914,"phoenix, arizona, usa",28.0
40922,"pittsboro, north carolina, usa",53.0
40943,"oklahoma city, oklahoma, usa",40.0
41084,"orlando, florida, usa",36.0
41086,"san jose, california, usa",42.0
41177,"austin, texas, usa",38.0
41364,"north little rock, arkansas, usa",34.0
41449,"danville, california, usa",
41450,"denver, colorado, usa",
41455,"toronto, ontario, canada",
41589,"bellingham, washington, usa",51.0
41596,"mexico city, distrito federal, mexico",40.0
41700,"kerzers, fribourg, switzerland",42.0
41757,"calgary, alberta, canada",58.0
41781,"clinton twp., michigan, usa",54.0
41831,"toronto, ontario, canada",52.0
41841,"sherwood park, alberta, canada",
41897,"york, england, united kingdom",20.0
41911,"iasi, n/a, romania",19.0
42093,"fair haven, new jersey, usa",50.0
42323,"madera, california, usa",
42419,"west seneca, new york, usa",33.0
42458,"north york, ontario, canada",47.0
42573,"dallas, ,",78.0
42718,"baldwinsville, new york, usa",50.0
42798,"bellevue, nebraska, usa",15.0
42914,"clarksville, indiana, usa",26.0
43004,"fresno, california, usa",45.0
43006,"portland, maine, usa",29.0
43021,"carbondale, illinois, usa",
43118,"lisboa, lisboa, portugal",24.0
43246,"toronto, ontario, canada",36.0
43282,"ottawa, ontario, canada",
43309,"doylestown, ohio, usa",42.0
43359,"sterling, virginia, usa",33.0
43397,"barcelona, catalunya, spain",33.0
43436,"san diego, california, usa",29.0
43481,"bridgewater, connecticut, usa",57.0
43619,"shrewsbury, massachusetts, usa",26.0
43678,"la jolla, california, usa",
43687,"sacramento, california, usa",27.0
43807,"sambro, nova scotia, canada",32.0
43842,"tucson, ,",
43910,"granada hills, california, usa",43.0
43955,"trieste, friuli venezia giulia, italy",37.0
43962,"renmark, south australia, australia",23.0
44089,"leduc, ,",
44190,"mt. crawford, virginia, usa",50.0
44252,"fairview, new jersey, usa",28.0
44296,"sydney, new south wales, australia",26.0
44535,"warrensburg, missouri, usa",20.0
44595,"toronto, ontario, canada",39.0
44728,"florence, alabama, usa",31.0
44845,"dallas, texas, usa",29.0
44852,"spring, texas, usa",39.0
44893,"alexandria, virginia, usa",
45113,"alderson, west virginia, usa",34.0
45315,"ada, michigan, usa",
45340,"canton, ohio, usa",
45557,"flossmoor, illinois, usa",33.0
46145,"chardon, ohio, usa",43.0
46197,"tampere, pirkanmaa, finland",26.0
46269,"recife, pernambuco, brazil",26.0
46293,"almonte, ontario, canada",38.0
46351,"paris, ile de france, france",27.0
46398,"san antonio, texas, usa",37.0
46443,"asheville, north carolina, usa",14.0
46461,"hershey, pennsylvania, usa",
46892,"northridge, california, usa",35.0
46909,"howell, new jersey, usa",31.0
47128,"elmhurst, illinois, usa",33.0
47279,"stillwater, oklahoma, usa",29.0
47316,"comanche, texas, usa",
47605,"halifax, nova scotia, canada",27.0
47609,"lubbock, texas, usa",34.0
47635,"kuala lumpur, kuala lumpur, malaysia",
47779,"webster, new york, usa",
47856,"ottawa, ontario, canada",32.0
47971,"toronto, ontario, canada",40.0
48025,"concordia, missouri, usa",43.0
48037,"delaware water gap, pennsylvania, usa",16.0
48046,"central sq., new york, usa",
48217,"portland, oregon, usa",40.0
48268,"vienna, vienna, austria",18.0
48326,"torino, piemonte, italy",
48355,"florence, arizona, usa",35.0
48494,"lemon grove, california, usa",51.0
48579,"cleveland, oklahoma, usa",24.0
48911,"new orleans, louisiana, usa",57.0
48975,"beaver dams, new york, usa",
49109,"west jordan, utah, usa",38.0
49144,"ferreries, illes balears, spain",43.0
49154,"thibodaux, louisiana, usa",41.0
49155,"barcelona, ,",26.0
49212,"san francisco, california, usa",38.0
49225,"medina, ohio, usa",
49392,"boston, massachusetts, usa",28.0
49422,"regensburg, bayern, germany",
49460,"., kansas, usa",37.0
49582,"le mans, pays de la loire, france",29.0
49771,"san antonio, texas,",35.0
49792,"denver, pennsylvania, usa",
49889,"orem, utah, usa",
49980,"new hartford, new york, usa",27.0
50073,"south portland, maine, usa",
50225,"fresno, california, usa",
50321,"ourense, ourense, spain",40.0
50730,"mcallen, texas, usa",
50749,"peterborough, england, united kingdom",
50823,"sacramento, california, usa",
50849,"prince albert, saskatchewan, canada",52.0
50859,"erin, tennessee, usa",26.0
50895,"calverton, new york, usa",
51100,"new braunfels, texas, usa",25.0
51184,"münchen, bayern, germany",25.0
51252,"yucca valley, california, usa",
51350,"monroe, ,",
51365,"shelbyville, kentucky, usa",48.0
51386,"adrian, michigan, usa",41.0
51440,"buffalo, minnesota, usa",
51449,"derby, england, united kingdom",26.0
51450,"lawrenceville, georgia, usa",54.0
51526,"long beach, california, usa",34.0
51742,"brooklyn, new york, usa",
51803,"brantford, ontario, canada",34.0
51883,"jasper, missouri, usa",31.0
51992,"west fairlee, vermont, usa",43.0
52011,"burlington, ontario, canada",37.0
52044,"atlanta, georgia, usa",46.0
52175,"johnstown, pennsylvania, usa",
52199,"houston, texas, usa",47.0
52203,"calais, pas de calais, france",32.0
52256,"duluth, minnesota, usa",17.0
52293,"lombard, illinois, usa",61.0
52323,"karlsruhe, baden-wuerttemberg, germany",38.0
52521,"safety harbor, florida, usa",38.0
52584,"livermore, california, usa",45.0
52614,"toccoa, ga., usa",33.0
52673,"barcelona, catalunya, spain",26.0
52807,"three hills, alberta, canada",38.0
52853,"yuba city, california, usa",61.0
52917,"bellevue, washington, usa",42.0
53174,"orlando, florida, usa",29.0
53220,"fullerton, california, usa",36.0
53241,"hillsborough, new jersey, usa",
53256,"sterlington, louisiana, usa",21.0
53278,"toronto, ontario, canada",34.0
53304,"south burlington, vermont, usa",52.0
53392,"minneapolis, minnesota, usa",34.0
53418,"puyallup, washington, usa",28.0
53456,"ne portland, oregon,",
53545,"los angeles, california, usa",
53590,"thalwil, zurich, switzerland",40.0
53614,"barreiro, barreiro, portugal",30.0
53628,"brest, bretagne, france",22.0
53729,"balingup, western australia, australia",
54206,"philadelphia, pennsylvania, usa",24.0
54218,"kaiserslautern, rheinland-pfalz, germany",27.0
54335,"north haven, connecticut, usa",43.0
54374,"london, ontario, canada",24.0
54453,"boise, idaho, usa",
54622,"kuala lumpur, federal territory, malaysia",
54817,"aylesbury, buckinghamshire, united kingdom",25.0
54828,"hamburg, hamburg, germany",
54898,"pine beach, new jersey, usa",35.0
55006,"calgary, alberta, canada",34.0
55097,"greenville, illinois, usa",
55142,"austin, texas, usa",47.0
55178,"moore, oklahoma, usa",25.0
55187,"torrance, california, usa",48.0
55244,"riva san vitale, ticino, switzerland",
55438,"lexington, kentucky, usa",42.0
55490,"rapid city, south dakota, usa",25.0
55492,"antioch, illinois, usa",43.0
55493,"chatham, ontario, canada",35.0
55548,"chamblee, georgia, usa",
55559,"jonesboro, georgia, usa",34.0
55734,"calgary, alberta, canada",37.0
55751,"hesperia, california, usa",
55799,"scarborough, ontario, canada",
55858,"dartmouth, nova scotia, canada",28.0
55892,"plantersville, texas, usa",45.0
55927,"roscoe, minnesota, usa",17.0
56039,"paris, paris, france",34.0
56271,"leeds, england, united kingdom",22.0
56307,"el segundo, california, usa",
56360,"wien, wien, austria",35.0
56391,"tijeras, nm, usa",40.0
56399,"n/a, surrey, united kingdom",63.0
56447,"sturgis, michigan, usa",22.0
56470,"bremen, bremen, germany",30.0
56554,"rural hall, north carolina, usa",39.0
56661,"green, ohio, usa",
56804,"southbridge, canterbury, new zealand",
56856,"escondido, california, usa",23.0
56959,"monroe twp., new jersey, usa",52.0
57006,"lawton, oklahoma, usa",30.0
57108,"new york, new york, usa",38.0
57234,"austin, texas, usa",
57398,"tigard, oregon, usa",39.0
57449,"rudersberg, baden-württemberg, germany",29.0
57599,"portland, oregon, usa",27.0
57620,"baldwin, ,",
57725,"wilmington, delaware, usa",43.0
57976,"eugene, oregon, usa",
58062,"chicago, illinois, usa",52.0
58067,"donostia, gipuzkoa, euskal herria",26.0
58363,"colorado springs, colorado, usa",81.0
58458,"peel, isle of man, united kingdom",23.0
58482,"norfolk, virginia, usa",
58497,"nantes, pays de la loire, france",26.0
58594,"baltimore, maryland, usa",33.0
58768,"cold lake, alberta, canada",35.0
58855,"glen ellyn, illinois, usa",38.0
58911,"batavia, new york, usa",58.0
58961,"allston, massachusetts, usa",34.0
59059,"sarasota, florida, usa",19.0
59150,"victoria, british columbia, canada",37.0
59172,"owen sound, ontario, canada",36.0
59189,"houston, texas, usa",33.0
59209,"markham, ontario, canada",41.0
59269,"indianapolis, indiana, usa",
59504,"louisville, kentucky, usa",39.0
59656,"schnellville, indiana, usa",53.0
59727,"plano, texas, usa",24.0
59770,"birmingham, alabama, usa",
59912,"pasadena, california, usa",27.0
59967,"dundee, scotland, united kingdom",28.0
59971,"kingwood, texas, usa",27.0
60050,"brooklyn, new york, usa",40.0
60098,"elizabeth city, north carolina, usa",35.0
60114,"san francisco, california, usa",
